"","Name","EC","EC_all","EC_bin","EC_cat","Blue_R","Green_R","Red_R","NIR_R","SWIR1_R","SWIR2_R","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"73",43,1760,1760,0,1,0.08138,0.11493,0.1190275,0.1622575,0.173175,0.144465,0.0175138646976482,-0.17074182638106,0.0903853418964866,-0.153687541105996,0.165458304887515,0.116960807858872,0.0984198046634924,0.16804232647046,0.683707546575371,0.4651575,-1.176565,-0.187854745955116,-0.170903163364067,-0.33195833974655,-0.360609691422286,-0.27932874316456,-0.185308133913981,-0.096539749708246,-0.202165877024002,-0.113861099866998,-0.0325475319177481,0.0580084604161742
"74",45,3360,3360,1,2,0.066585,0.09722,0.0931225,0.1268375,0.07357,0.0473625,-0.0215269842520718,-0.132187050199168,0.216711802038327,-0.153277868703401,0.134623654705442,0.0951491957401638,0.078743645219789,0.121491720775046,0.715025906735751,0.363655,-0.90536,-0.166163141993958,-0.187021153200452,-0.311507192803319,-0.0498376797117478,0.168696110050681,0.117296818993056,0.325728725486707,0.138474149540371,0.344837722407622,0.26579594077068,0.456228473019518
"75",46,2470,2470,1,1,0.083855,0.1206775,0.119935,0.219705,0.194075,0.1526325,-0.00308587459088775,-0.290930056627471,0.119531593634404,-0.293752208220469,0.170139540469727,0.120305677183165,0.100285340030335,0.218353207308736,0.699170383957977,0.60923,-1.456845,-0.177044997301143,-0.180032513170278,-0.447522730267492,-0.396574677076962,-0.290829325017178,-0.236107130346167,-0.119961110550598,-0.233191158132183,-0.116918517434415,0.0619411281357243,0.180138986806325
"76",51,1520,1520,0,1,0.0864675,0.115645,0.1163325,0.210465,0.20425,0.155575,0.00296364949186886,-0.290760786237773,0.135274091572292,-0.288045349184128,0.164033583699345,0.115988240621625,0.100294468659792,0.211716197090233,0.743278963316356,0.58432875,-1.4026975,-0.147263313609468,-0.144362669305461,-0.417594907933621,-0.405144169167663,-0.285518039187333,-0.27424297957624,-0.144322977483151,-0.276981509557824,-0.147223656072561,0.0149861953389678,0.149956288930172
"77",52,1960,1960,1,1,0.075605,0.1070375,0.1082475,0.1447125,0.13649,0.09799,0.00562045660403646,-0.149652432969216,0.164193108154213,-0.144153225806452,0.152231887797859,0.10764079979845,0.0904657517378814,0.146348395130211,0.698445691586411,0.415905,-1.050725,-0.177547218558355,-0.172098498432731,-0.313672313819828,-0.287064758716613,-0.128949566519773,-0.115399152152817,0.0497363476574337,-0.120941166808677,0.0441282267012961,0.0292404939500894,0.192509347864155
"78",53,2170,2170,1,1,0.074835,0.1100625,0.11416,0.1618725,0.17598,0.1431725,0.0182742588277268,-0.190523470682332,0.102795685448179,-0.172851022977367,0.158575721679739,0.112092528742999,0.0924292356346194,0.167898826575809,0.655527330063069,0.46176125,-1.1600375,-0.208074287679568,-0.190524479779337,-0.367700643198885,-0.403265354942886,-0.313463986330746,-0.213069552629765,-0.112743240748837,-0.230446524554918,-0.130748119335795,-0.0417563877727708,0.0613024307889
"79",63,1840,1840,0,1,0.09931,0.11702,0.11845,0.2102725,0.172295,0.1399825,0.00607296046205456,-0.284920980468541,0.103473673255358,-0.279331350911483,0.166505504113227,0.117732828896617,0.10845860731173,0.212842057981542,0.838412832418742,0.58490625,-1.4095725,-0.0878949301983835,-0.0818656681921139,-0.358426267634637,-0.268717438927855,-0.169969806826374,-0.185196649985382,-0.0833196289166417,-0.19105473273076,-0.0893473798893007,0.0992700634528549,0.200682359994861
"80",64,1880,1880,0,1,0.09931,0.11702,0.11845,0.2102725,0.172295,0.1399825,0.00607296046205456,-0.284920980468541,0.103473673255358,-0.279331350911483,0.166505504113227,0.117732828896617,0.10845860731173,0.212842057981542,0.838412832418742,0.58490625,-1.4095725,-0.0878949301983835,-0.0818656681921139,-0.358426267634637,-0.268717438927855,-0.169969806826374,-0.185196649985382,-0.0833196289166417,-0.19105473273076,-0.0893473798893007,0.0992700634528549,0.200682359994861
"81",65,1540,1540,0,1,0.0753025,0.1084675,0.1131975,0.203095,0.182965,0.15112,0.0213385063045587,-0.303719157472417,0.095320053279854,-0.284222673632792,0.156776505135495,0.110807264343318,0.0923258075716102,0.211951471754212,0.665231122595464,0.56433625,-1.3645275,-0.201034482758621,-0.180470152908527,-0.459028906509577,-0.416864297675859,-0.334849672625291,-0.23557168784029,-0.143473284969781,-0.255625230542235,-0.164308759088939,0.0521421540693157,0.146732916449049
"82",66,1420,1420,0,1,0.0677675,0.0980175,0.094525,0.226085,0.172845,0.119935,-0.0181388524611447,-0.395145054419512,0.180715895894528,-0.41034278406787,0.136170503161478,0.0962554112115262,0.080035760366851,0.21802927665978,0.716926738957947,0.612475,-1.407015,-0.164872067409153,-0.182465241125554,-0.538765196824938,-0.436708400436386,-0.277926506040144,-0.292927403972024,-0.118483633311573,-0.276256403156583,-0.100560902031406,0.133456997468227,0.306774174903185
"84",68,1950,1950,1,1,0.0646325,0.0975225,0.0944975,0.17125,0.1543375,0.1204575,-0.0157535673367358,-0.274311918071975,0.123291908513619,-0.2888173924496,0.135795491502848,0.0959980856254436,0.0781511974876265,0.165938084800943,0.683959893118865,0.47537375,-1.1336925,-0.187676742286181,-0.202830625019272,-0.451994107235594,-0.409667991049002,-0.301610027554163,-0.240480639781381,-0.120769463376055,-0.225581672357659,-0.105216074869254,0.0519445617537528,0.174121337298493
"85",69,2010,2010,1,1,0.056795,0.089025,0.0823975,0.19006,0.15002,0.11933,-0.038661785938252,-0.362022322948206,0.113940968999443,-0.395153372544342,0.121304569704731,0.0856471682981989,0.0684088153127943,0.175910910980062,0.689280621378076,0.51634875,-1.1842375,-0.183935916087433,-0.221025922370046,-0.539851329727978,-0.450765176607113,-0.355060326472676,-0.290952703647531,-0.18308113668191,-0.255161162124286,-0.145448873317175,0.117737003058104,0.228611138045832
"86",70,1200,1200,0,0,0.0540725,0.0886675,0.07654,0.2431075,0.164485,0.1054425,-0.073407684275835,-0.465496194710271,0.21873466023284,-0.521097458919591,0.117133672170943,0.0823808864361145,0.064332799954611,0.209856464318944,0.706460674157304,0.64603875,-1.4209025,-0.17201646090535,-0.242363738265377,-0.636095968773134,-0.505187422074282,-0.322038679747986,-0.364879161912665,-0.158820216229583,-0.299493388372621,-0.0864200710937097,0.192894864355944,0.394964854396787
"87",73,1820,1820,0,1,0.0660075,0.1016475,0.103545,0.20216,0.1774925,0.1438875,0.00924741401367007,-0.330842721130979,0.104564689775344,-0.322582227964868,0.145099211856061,0.102591863164191,0.082672526195224,0.20593381244005,0.637476459510358,0.5571725,-1.32523,-0.221391604370328,-0.212579404133488,-0.507714394921085,-0.457843942505133,-0.371042664189237,-0.263123248676778,-0.163044466672729,-0.271709536433331,-0.172032500458183,0.0649738905973226,0.168394512314061
"88",74,1310,1310,0,0,0.07049,0.089685,0.10074,0.1870075,0.1576375,0.1284325,0.0580543521071287,-0.35173522954182,0.102090397455168,-0.299802778477658,0.134877525277564,0.0950519168665209,0.0842683962111538,0.210058934604449,0.699722056779829,0.51788875,-1.2593675,-0.176662967937861,-0.119837677540191,-0.452499538830474,-0.382012251920527,-0.291281780592945,-0.22021073816412,-0.120836924151022,-0.274752600349746,-0.177645076621546,0.0852181229961265,0.185693000253614
"89",75,1640,1640,0,1,0.0513775,0.084405,0.0718375,0.22438,0.1432,0.07951,-0.0804358609213243,-0.453308936638762,0.285977279870684,-0.514967886772389,0.110836954267293,0.0778681204826468,0.0607522111223123,0.190970893312008,0.715190534191752,0.59686875,-1.3122775,-0.166051211297326,-0.243238267081546,-0.627371875651614,-0.471907080726189,-0.21493649126158,-0.331860721967099,-0.0506945935677829,-0.258320335669251,0.0298630387700941,0.220849883018663,0.476718549475139
"90",62,2550,2550,1,1,0.0850925,0.113335,0.11889,0.1996025,0.1697925,0.1394875,0.0239207664980083,-0.275670061913321,0.097985644076565,-0.253420410213741,0.164254845666726,0.116079275282024,0.100581545648295,0.209385813958618,0.715724619396081,0.55845125,-1.3657925,-0.165688233059208,-0.142331582063978,-0.402219919563041,-0.33230672656296,-0.242207676551785,-0.176326933568886,-0.0797186287505684,-0.199406627756046,-0.103442138259055,0.0806995221916918,0.177283317113451
"91",71,2460,2460,1,1,0.0763475,0.1080275,0.1114375,0.1642375,0.167455,0.1419075,0.0155377850682342,-0.206453271628744,0.0825811143884601,-0.191529881200689,0.155203921221405,0.109719253238664,0.0922386824019619,0.1694218269075,0.685114974761638,0.4663125,-1.16232,-0.186862635460766,-0.171823728813559,-0.365317871022715,-0.373693871063668,-0.300382580009622,-0.200856961015445,-0.120270777003691,-0.215721506810778,-0.135555244363535,-0.00970024947805585,0.0729392934720474
"92",72,2840,2840,1,1,0.0836075,0.11614,0.1245275,0.181535,0.1680325,0.1436125,0.034850987358077,-0.219685899050978,0.0783583885510759,-0.186260976107821,0.170280938029628,0.120260649632371,0.102036429554596,0.194645253250387,0.671397884001526,0.51610125,-1.2980325,-0.196603166214236,-0.162868121002766,-0.369339128958956,-0.335499125735177,-0.264083267318018,-0.148704539239814,-0.0711755053330348,-0.182609154650784,-0.105764140864862,0.0386263025023779,0.116631682544076
