"","Name","EC","EC_all","EC_bin","EC_cat","Blue_R","Green_R","Red_R","NIR_R","SWIR1_R","SWIR2_R","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"22",10,5010,5010,1,2,0.06917,0.103875,0.109705,0.1891525,0.168995,0.138745,0.0272965633486282,-0.29102217368677,0.0982972639240918,-0.265837397421848,0.151080119969505,0.106750207845231,0.087110819362465,0.199768712515042,0.630509092566428,0.52773375,-1.2865375,-0.226610761705101,-0.200554768990725,-0.464467864781426,-0.419142191337938,-0.334631940937402,-0.212737710800144,-0.116884685047293,-0.238648440649394,-0.143722693924656,0.056282676830077,0.153729442889927
"23",13,5510,5510,1,2,0.07698,0.10514,0.1090725,0.172405,0.1426225,0.1175975,0.0183579389624789,-0.242357095245816,0.096168626546768,-0.225000222042614,0.151496633151532,0.107088200330382,0.0916318779137479,0.178853379898231,0.705769098535378,0.48554875,-1.1971075,-0.172491635425485,-0.154623325280035,-0.382641297592076,-0.298915085210779,-0.20874715730236,-0.133296251415403,-0.0376097410332201,-0.151283991725947,-0.055929064481733,0.0945393656109387,0.188989750088361
"24",14,3650,3650,1,2,0.0629,0.10019,0.10349,0.1724875,0.16256,0.13341,0.0162018853102908,-0.26513922124121,0.0984897117951144,-0.25001132338687,0.144042411115616,0.10182663256732,0.0806816026117479,0.178168793043218,0.607788192095855,0.48296375,-1.1795075,-0.2439449486147,-0.228646759457968,-0.465562105039562,-0.442029628315444,-0.35917681218481,-0.222025934974629,-0.126298016040523,-0.237373929590866,-0.142208904109589,0.0296301270715347,0.127747039449489
"25",1,3980,3980,1,2,0.07225,0.10184,0.0958725,0.2381025,0.17664,0.1357475,-0.0301827148005309,-0.400839847915456,0.130903125125045,-0.425870199865259,0.13986751537169,0.0988112109024072,0.0832273279938747,0.224150451013845,0.753605048371535,0.6431925,-1.466195,-0.140507665541495,-0.169969555976794,-0.534400399545678,-0.419422234722167,-0.305280111539802,-0.296380899958717,-0.172156981262413,-0.268600976730825,-0.142715841532067,0.148194361561692,0.273786277918951
"26",4,6800,6800,1,2,0.085065,0.1148475,0.1230425,0.21129,0.18302,0.155135,0.034448694774896,-0.295711164769461,0.0824621845011902,-0.263951305960384,0.168313413198414,0.118874402285564,0.102306452692389,0.226366702148501,0.691346485970295,0.58974625,-1.4419675,-0.182489818963757,-0.148977677734009,-0.425924988611631,-0.365387843407874,-0.291715237302248,-0.195964876454972,-0.115366986905843,-0.228868540542355,-0.149222634800404,0.0716948593746036,0.153251006345091
"27",5,880,880,0,0,0.0831675,0.114655,0.12538,0.2224,0.18797,0.1595075,0.0446809840231632,-0.319665929892747,0.0819117784604759,-0.278969463453908,0.169899715788462,0.119897639259495,0.102115332590165,0.243203628276133,0.663323496570426,0.61869,-1.50959,-0.202411920545679,-0.159170468475527,-0.455652188141736,-0.386528975150984,-0.314577109302565,-0.199744694431147,-0.119792900706419,-0.242263527467988,-0.163598230976155,0.0838998952165118,0.164679929040409
"28",11,3860,3860,1,2,0.0658425,0.0997775,0.104425,0.16927,0.17389,0.14771,0.0227592708218556,-0.258290822252576,0.0814054726368159,-0.236924313560715,0.14443036429799,0.102074803147006,0.0829192562828442,0.17715436596427,0.630524299736653,0.4753875,-1.16892,-0.22659932165563,-0.204896751600048,-0.439906427773938,-0.450700259664417,-0.383360063684574,-0.249591290444281,-0.171673904852559,-0.270812208245407,-0.19367644830547,-0.013463107588297,0.0680169095842008
"29",12,4730,4730,1,2,0.0765675,0.107065,0.11306,0.1872825,0.1802975,0.1547225,0.0272345258375922,-0.27252652052421,0.0763387260462062,-0.247126197591084,0.155709594518129,0.110021674682764,0.0930415044482837,0.197769200485686,0.677228905006191,0.52473625,-1.2875825,-0.192443079194737,-0.166078989285666,-0.419613416714042,-0.403830806065443,-0.337909118422759,-0.229199867056407,-0.155583355895176,-0.254843620862151,-0.182046507186172,0.0190026660862942,0.0952032865016594
"30",15,5370,5370,1,2,0.0705725,0.1002725,0.102225,0.1601675,0.1523575,0.113225,0.0096420943468439,-0.229976194133006,0.147345928289703,-0.220823765923188,0.143194011331655,0.1012440433433,0.0849368813443253,0.163286271784388,0.690364392271949,0.45153125,-1.1114175,-0.183176839942708,-0.173841786414586,-0.388294183929965,-0.366864038038846,-0.232062460044342,-0.196920448184773,-0.0510559294499884,-0.206171080235918,-0.0606681577067649,0.0249900007999361,0.17170368609234
"31",16,1590,1590,0,1,0.084075,0.1114925,0.1192475,0.1942675,0.181095,0.1525775,0.0336092571725752,-0.270718864468864,0.0854655388142566,-0.239286796485017,0.163249942764155,0.115304821641378,0.100128585141807,0.207780018442945,0.705046227384222,0.5452925,-1.34459,-0.172988724809109,-0.140194561979879,-0.395888159371997,-0.365878493042199,-0.289464510199554,-0.205923237637031,-0.122615653453509,-0.237886102447986,-0.155583746733821,0.0350927436811082,0.120197782871311
"33",18,3040,3040,1,2,0.0769525,0.1029675,0.10239,0.1776025,0.176475,0.14265,-0.00281216902231479,-0.266012046904516,0.10599294947121,-0.268623266694644,0.145210254996849,0.102678343992295,0.0887646690693994,0.1766064046908,0.751562652602793,0.49520125,-1.1940275,-0.141837545478623,-0.14459204090707,-0.395395886939954,-0.392706000729992,-0.299165537732949,-0.265666182561455,-0.164299706170421,-0.263050538125017,-0.161562185104889,0.00318433111395105,0.10914044386851
"35",20,2130,2130,1,1,0.075715,0.1067625,0.112235,0.2051575,0.1919025,0.15882,0.0249888697359559,-0.31544947422416,0.0943267112888393,-0.292768417653221,0.154902958755635,0.109464556763822,0.0921839087097092,0.215673593373141,0.674611306633403,0.56901125,-1.3734375,-0.194306996541633,-0.17014426436136,-0.460858574620157,-0.434155090754528,-0.354339437610591,-0.261945666022769,-0.171865488553984,-0.285068555070062,-0.196012538476745,0.0333828640507732,0.12730869353188
"36",21,3040,3040,1,2,0.0573175,0.087265,0.0830025,0.1136375,0.0602875,0.0387275,-0.025034137460173,-0.131270143477558,0.217744786143514,-0.155792310821806,0.120435024935647,0.0851070688162857,0.0689746025269447,0.108086822824156,0.69055148941297,0.325595,-0.80867,-0.183045895096921,-0.207130876835025,-0.329443420783247,-0.0252540283151224,0.193555104378156,0.158524670249145,0.363714778608396,0.182833228850748,0.38524118499117,0.306741411527958,0.491648344436058
"37",22,2590,2590,1,1,0.0621025,0.090455,0.0851475,0.1889325,0.158435,0.1040125,-0.0302245127489644,-0.352476399266252,0.207365282580326,-0.378666812609457,0.124226421429783,0.0877611366864628,0.0727177599954097,0.177846775122989,0.729352006811709,0.514905,-1.18949,-0.156502546689304,-0.185847958966291,-0.505228354611907,-0.436807799127133,-0.25229509677031,-0.300873420709616,-0.0997303869739904,-0.273132709228977,-0.0697160193862728,0.0877960661259329,0.289883766577344
"38",23,2810,2810,1,1,0.08457,0.11306,0.12043,0.1932775,0.1839,0.1525775,0.0315645209644952,-0.261859876769902,0.0930894339146006,-0.232214722312983,0.165184589172235,0.116686827877014,0.100919597204904,0.205876608216876,0.702233662708627,0.54340875,-1.3424175,-0.174926829268293,-0.144158275565451,-0.391248796552066,-0.369985473237233,-0.286772999926206,-0.208556501166497,-0.117753175279067,-0.238550646551724,-0.148764764011105,0.0248622995804362,0.117679374304261
