,Name,EC,pH,Blue_R,Red_R,Green_R,NIR_R,SWIR1_R,SWIR2_R,EC_all,EC_bin,EC_cat,NBR,NBG,NBNIR,NBSWIR1,NBSWIR2,NDVI,NDSI2,NRSWIR1,NRSWIR2,NDWI,NGSWIR1,NGSWIR2,NNIRSWIR1,NNIRSWIR2,NDSI1,SI1,SI2,SI3,SI4,SI5,SAVI,VSSI
81,T-S26_20240219,3548,7.07,0.0532475,0.102555,0.0966425,0.1666575,0.18885,0.1277175,3548,1,2,-0.316474383,-0.289512309,-0.515722698,-0.560115243,-0.411516039,0.029681597,-0.238111158,-0.296134246,-0.10927271,-0.265913407,-0.322976961,-0.138505081,-0.062424843,0.132280255,0.193110474,0.140915935,0.099554867,0.073897208,0.176853454,0.519209205,0.46792125,-1.1527775
82,T-S27_20240219,2042,8.53,0.08171,0.1420725,0.124995,0.202105,0.229605,0.1696275,2042,1,1,-0.269737357,-0.209404707,-0.424202385,-0.475065448,-0.349798578,0.063944508,-0.174423081,-0.235506588,-0.08840231,-0.235738306,-0.29500846,-0.151490467,-0.063700169,0.087367933,0.150232008,0.189230931,0.133260467,0.107743881,0.22971769,0.575128895,0.57629875,-1.4708975
83,T-S28_20240219,5508,4.78,0.0671075,0.112675,0.1023075,0.1812325,0.23439,0.1773825,5508,1,2,-0.253459041,-0.20777381,-0.459551421,-0.554838763,-0.451040942,0.048224856,-0.233262166,-0.350697996,-0.223085078,-0.278355788,-0.39228833,-0.268422182,-0.127898514,0.010735747,0.138444165,0.152192247,0.107366184,0.086955952,0.199597996,0.595584646,0.50941875,-1.2649225
84,T-S29_20240219,5203,7.45,0.05784,0.10382,0.0968625,0.1890425,0.2178075,0.159205,5203,1,2,-0.2844241,-0.252242207,-0.53143702,-0.580333578,-0.467022968,0.034669191,-0.290998335,-0.354408438,-0.210569338,-0.322414788,-0.384355039,-0.243461197,-0.070701733,0.085679007,0.155439143,0.141989212,0.100280929,0.077491605,0.202621162,0.557118089,0.52451625,-1.2705875
85,T-S30_20240219,2125,4.83,0.075055,0.120815,0.1073125,0.23637,0.2986575,0.209915,2125,1,1,-0.233624343,-0.176881846,-0.517989885,-0.598327591,-0.473242797,0.059188392,-0.323515825,-0.423967006,-0.269404046,-0.375513737,-0.471327931,-0.323435074,-0.116419249,0.059278264,0.174493312,0.161592812,0.113863777,0.095224838,0.266111045,0.621239085,0.6513325,-1.5713
86,T-S31_20240220,1585,6.68,0.0629825,0.1022525,0.0964225,0.210685,0.2520725,0.1790325,1585,0,1,-0.237661512,-0.20978012,-0.539715165,-0.600180921,-0.479515732,0.029344407,-0.346498902,-0.422832146,-0.272961587,-0.372060272,-0.446634815,-0.299903796,-0.089436692,0.081219088,0.169425082,0.140544912,0.099294721,0.080250346,0.223423661,0.61595071,0.57783875,-1.3718425
87,T-S32_20240220,631.7,4.6,0.072085,0.120595,0.1018125,0.2135725,0.2982725,0.211895,631.7,0,0,-0.251764584,-0.170948404,-0.495304692,-0.610727473,-0.492323403,0.084450839,-0.278236214,-0.424185452,-0.274594725,-0.354360543,-0.491045653,-0.350908091,-0.165479784,0.003942722,0.16931204,0.157825661,0.110806491,0.093236745,0.252972628,0.597744517,0.59422875,-1.4672125
88,T-S33_20240220,675.5,4.83,0.0592425,0.099805,0.092765,0.2180275,0.2833675,0.193305,675.5,0,0,-0.255033874,-0.220531882,-0.572672846,-0.654169464,-0.530840733,0.036558135,-0.371964793,-0.479059692,-0.31899287,-0.403042223,-0.50674297,-0.351452442,-0.130316417,0.060103444,0.188939995,0.136258516,0.096220636,0.076894068,0.234573758,0.593582486,0.59497125,-1.4036325
89,T-S34_20240220,2642,5.7,0.0539075,0.09348,0.08501,0.1852475,0.2280925,0.1532925,2642,1,1,-0.268492918,-0.223891878,-0.549183584,-0.617677305,-0.479657336,0.047453639,-0.329237338,-0.418607002,-0.242379114,-0.370896275,-0.456982937,-0.286537069,-0.103655586,0.094390619,0.196127273,0.126353514,0.08914446,0.070987838,0.203704697,0.576674155,0.50985875,-1.2236175
90,T-S35_20240220,5108,7.08,0.071975,0.1317875,0.1129775,0.1881625,0.2378,0.1860175,5108,1,2,-0.293540274,-0.221692056,-0.446638797,-0.535307885,-0.442038044,0.076849223,-0.176199406,-0.286840058,-0.170639228,-0.249667929,-0.35584523,-0.244285021,-0.116530211,0.005732535,0.122181127,0.173585312,0.122020581,0.097393046,0.219490301,0.546144361,0.5363,-1.373795
