,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
108,11,RandomForest,0.689594019,0.576335348,914.7832973,1353.056982,1202.265786,2240.542074
109,11,Bagging,0.707897017,0.582392957,887.403592,1343.349068,1188.492402,2217.696609
110,11,ANN,-6.416917787,-10.28819141,4471.620297,6984.207824,-3031.18215,2040.773125
111,12,Lasso,0.451504798,0.164076271,1270.82138,1655.325353,1031.057852,2285.515323
112,12,Ridge,0.389060663,0.144282556,1341.211105,1674.808794,1004.151873,2270.790443
113,12,Log-Linear,0.0903022,-0.215525731,1636.615532,1996.09919,305.366443,1640.785918
114,12,OLS,0.554290947,0.237521769,1145.575782,1580.934091,934.295806,2103.848676
115,12,Quadratic_all,0.63205421,0.218249613,1040.854478,1600.789005,1004.576794,2207.595786
116,12,Quadratic_correlated,0.558387864,0.382969137,1140.298613,1422.176453,1181.34111,2261.910954
117,12,Stepwise,0.545773759,0.241971253,1156.469561,1576.314527,942.9265861,2110.491357
118,12,RandomForest,0.751054588,0.392014706,856.1505877,1411.713531,970.5311442,1993.250398
119,12,Bagging,0.771981913,0.414924784,819.375067,1384.860063,980.8975632,1981.30858
120,12,ANN,-7.235121798,-150.8280847,4924.170812,22308.79419,-5200.673621,11971.64381
121,13,Lasso,0.463958256,0.109788215,1318.98064,1376.976236,1029.381663,2080.369654
122,13,Ridge,0.380496619,0.075388824,1417.950127,1403.328498,1046.913334,2115.347874
123,13,Log-Linear,-0.589256441,0.097033262,2271.099206,1386.805809,731.6932783,1799.057321
124,13,OLS,0.530071272,0.216084244,1234.966318,1292.154583,835.6982338,1832.210055
125,13,Quadratic_all,0.621761989,-0.793220953,1107.953927,1954.324506,169.3402909,1635.524003
126,13,Quadratic_correlated,0.590020044,0.021600585,1153.507514,1443.570065,888.6931204,2000.071041
127,13,Stepwise,0.525120557,0.012339635,1241.454481,1450.385965,649.1157799,1761.752198
128,13,RandomForest,0.752331477,0.16760891,896.5500149,1331.507101,935.1316467,1959.73982
129,13,Bagging,0.780118747,0.138509558,844.7597575,1354.581086,903.7237792,1947.175051
130,13,ANN,-5.456852199,-539.6069673,4577.723297,33932.87012,-682.4367774,24227.02715
131,14,Lasso,0.33566075,0.357461085,1323.006083,1652.257362,1053.691737,2261.183597
132,14,Ridge,0.30740395,0.294999303,1350.849263,1730.703814,966.2092001,2220.473293
133,14,Log-Linear,-0.156593747,0.224391481,1745.650532,1815.303575,803.1080013,2080.230934
134,14,OLS,0.462783384,0.520845228,1189.711346,1426.809152,1163.297454,2191.594412
135,14,Quadratic_all,0.548253504,0.479046942,1090.973701,1487.740801,1420.166963,2557.588726
136,14,Quadratic_correlated,0.512161568,0.472063451,1133.717605,1497.679351,1216.74144,2326.91786
137,14,Stepwise,0.43411073,0.51065429,1221.047658,1441.902418,1045.112236,2040.580643
138,14,RandomForest,0.702487546,0.484846187,885.3591098,1479.436867,1254.631997,2357.515314
139,14,Bagging,0.727278984,0.498300816,847.6687795,1459.989308,1311.697326,2409.519974
140,14,ANN,-7.030644468,-13.09172149,4599.833213,7737.666429,1026.379733,6840.370382
141,15,Lasso,0.381223322,0.42822426,1380.496046,1224.173607,755.9952682,1699.753424
142,15,Ridge,0.323430441,0.338847145,1443.525385,1316.379434,845.3421076,1853.167145
143,15,Log-Linear,-0.013564139,0.321571261,1766.826144,1333.466987,342.9714158,1335.40869
144,15,OLS,0.497340139,0.434691137,1244.243275,1217.23112,789.2027269,1726.583475
145,15,Quadratic_all,0.587793598,0.292311747,1126.744807,1361.918575,675.0717939,1725.509294
146,15,Quadratic_correlated,0.529481195,0.432158931,1203.80652,1219.954265,691.1109542,1631.837747
