,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
91,11,Lasso,0.428801834,-0.175554386,1336.198769,1737.66394,547.1912899,2156.763004
92,11,Ridge,0.317740116,0.002076173,1460.3353,1601.006598,762.3554645,2255.179229
93,11,Quantile Regression,0.411845316,-0.203297551,1355.886838,1601.006598,365.7541763,1964.265377
94,11,Log-Linear,0.310544742,-0.10175496,1468.01573,1682.236039,147.263457,1575.695508
95,11,OLS,0.42913351,-0.186724171,1335.810769,1745.899817,539.2705932,2156.098566
96,11,Stepwise,0.42913351,-0.186724171,1335.810769,1745.899817,539.2705932,2156.098566
97,11,RandomForest,0.419776195,0.019673245,1346.714192,1586.827994,858.9612337,2338.778721
98,11,Bagging,0.510293555,0.04542363,1237.216135,1565.848589,746.9620886,2205.704228
99,11,ANN,-6.338334965,-9.475572003,4789.348402,5187.203649,-2649.266828,1827.57572
100,12,Lasso,0.368438615,0.110938633,1389.025154,1561.248982,712.6235757,2077.998015
101,12,Ridge,0.259486378,0.135947639,1504.072782,1539.133637,790.0759687,2159.041189
102,12,Quantile Regression,0.301993469,-0.069173702,1460.266322,1539.133637,319.0938391,1643.050559
103,12,Log-Linear,0.246766799,-0.058920997,1516.935285,1703.876365,280.5690444,1552.134463
104,12,OLS,0.368455556,0.109494069,1389.006524,1562.516841,711.3287309,2077.68659
105,12,Stepwise,0.359008513,0.089195808,1399.356782,1580.224567,738.996258,2137.210903
106,12,RandomForest,0.359824905,0.219261117,1398.465361,1463.050117,843.4768827,2143.593781
107,12,Bagging,0.442849452,0.362067937,1304.633743,1322.493402,896.6959468,2051.823249
108,12,ANN,-5.964422333,-6.936308071,4612.590243,4664.61235,-1410.963342,2780.315246
109,13,Lasso,0.283261079,0.324514901,1590.959228,738.3295217,1231.587793,1869.752349
110,13,Ridge,0.263149423,0.44957386,1613.12592,666.487291,1262.2127,1829.438913
111,13,Quantile Regression,0.226038418,0.310428366,1653.248958,666.487291,656.0395658,1294.077917
112,13,Log-Linear,0.173692972,0.31025594,1708.241542,746.0816037,604.1515396,1211.003663
113,13,OLS,0.316450601,0.42967595,1553.686917,678.4271039,1112.727476,1730.246788
