,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
128,64,ANN,0.8,0.411764706,0,0,NA
129,65,Random Forest,1,0.722222222,0,0,NA
130,65,ANN,0.923076923,0.833333333,0.666666667,0.5,0.571428571
131,66,Random Forest,0.985294118,0.823529412,1,0.25,0.4
132,66,ANN,0.893939394,0.705882353,0,0,NA
133,67,Random Forest,1,0.722222222,1,0.285714286,0.444444444
134,67,ANN,0.833333333,0.588235294,0,0,NA
135,68,Random Forest,1,0.875,1,0.333333333,0.5
136,68,ANN,0.880597015,0.866666667,0.5,0.5,0.5
137,69,Random Forest,1,0.722222222,1,0.166666667,0.285714286
138,69,ANN,0.938461538,0.722222222,0.666666667,0.333333333,0.444444444
139,70,Random Forest,1,0.705882353,0.333333333,0.25,0.285714286
140,70,ANN,0.911764706,0.6875,0.4,0.5,0.444444444
141,71,Random Forest,0.984848485,0.789473684,NA,0,NA
142,71,ANN,0.890625,0.733333333,0,0,NA
143,72,Random Forest,0.985507246,0.857142857,NA,0,NA
144,72,ANN,0.904761905,0.785714286,0,0,NA
145,73,Random Forest,0.984848485,0.888888889,0,0,NA
146,73,ANN,0.8,0.888888889,0,0,NA
147,74,Random Forest,0.984615385,0.842105263,NA,0,NA
148,74,ANN,0.90625,0.8,0,0,NA
149,75,Random Forest,1,0.611111111,0,0,NA
150,75,ANN,0.924242424,0.705882353,0.5,0.4,0.444444444
151,76,Random Forest,1,0.722222222,NA,0,NA
152,76,ANN,0.919354839,0.6875,0,0,NA
153,77,Random Forest,0.985294118,0.764705882,0.5,0.25,0.333333333
154,77,ANN,0.880597015,0.705882353,0,0,NA
155,78,Random Forest,1,0.75,0.333333333,0.333333333,0.333333333
156,78,ANN,0.855072464,0.6875,0.25,0.333333333,0.285714286
157,79,Random Forest,0.985074627,0.882352941,NA,0,NA
158,79,ANN,0.936507937,0.8125,0,0,NA
159,80,Random Forest,1,0.777777778,1,0.333333333,0.5
160,80,ANN,0.848484848,0.666666667,0.5,0.166666667,0.25
161,81,Random Forest,1,0.705882353,0,0,NA
162,81,ANN,0.925373134,0.588235294,0,0,NA
163,82,Random Forest,0.984375,0.7,NA,0,NA
164,82,ANN,0.904761905,0.75,0.4,0.666666667,0.5
165,83,Random Forest,1,0.8,1,0.25,0.4
166,83,ANN,0.833333333,0.647058824,0.5,0.166666667,0.25
167,84,Random Forest,1,0.823529412,NA,0,NA
168,84,ANN,0.954545455,0.8,0.333333333,0.5,0.4
169,85,Random Forest,1,0.8,0.5,0.25,0.333333333
170,85,ANN,0.904761905,0.4375,0.125,0.333333333,0.181818182
171,86,Random Forest,1,0.888888889,0,0,NA
172,86,ANN,0.924242424,0.625,0,0,NA
173,87,Random Forest,1,0.75,0.5,0.25,0.333333333
174,87,ANN,0.797101449,0.75,NA,0,NA
175,88,Random Forest,1,0.789473684,NA,0,NA
176,88,ANN,0.80952381,0.789473684,NA,0,NA
177,89,Random Forest,1,0.736842105,1,0.166666667,0.285714286
178,89,ANN,0.921875,0.65,0.5,0.571428571,0.533333333
179,90,Random Forest,1,0.611111111,1,0.125,0.222222222
180,90,ANN,0.907692308,0.6875,0.75,0.428571429,0.545454545
181,91,Random Forest,1,0.722222222,0.333333333,0.25,0.285714286
182,91,ANN,0.870967742,0.666666667,0.25,0.25,0.25
183,92,Random Forest,0.985074627,0.888888889,0.5,0.5,0.5
184,92,ANN,0.865671642,0.733333333,0,0,NA
185,93,Random Forest,0.985074627,0.777777778,1,0.2,0.333333333
186,93,ANN,0.850746269,0.705882353,0,0,NA
187,94,Random Forest,0.984615385,0.85,0,0,NA
188,94,ANN,0.830769231,0.611111111,0,0,NA
189,95,Random Forest,1,0.944444444,NA,0,NA
190,95,ANN,0.863636364,0.833333333,0,0,NA
191,96,Random Forest,0.985507246,0.6875,1,0.166666667,0.285714286
192,96,ANN,0.967741935,0.666666667,0.333333333,0.333333333,0.333333333
193,97,Random Forest,1,0.941176471,1,0.5,0.666666667
194,97,ANN,0.892307692,0.529411765,0.125,0.5,0.2
195,98,Random Forest,0.985074627,0.941176471,1,0.5,0.666666667
196,98,ANN,0.850746269,0.705882353,0,0,NA
197,99,Random Forest,0.984848485,0.789473684,NA,0,NA
198,99,ANN,0.861538462,0.875,0,0,NA
199,100,Random Forest,1,0.75,NA,0,NA
200,100,ANN,0.867647059,0.642857143,0,0,NA
