,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
103,11,Log-Linear,0.318125448,-1.633633474,1505.010586,2664.034915,383.2563454,2486.890641
104,11,OLS,0.779456217,-3.245034298,855.9230528,3382.227741,-429.9102598,2173.067012
105,11,Quadratic_all,0.943053927,-311.7998818,434.9298371,29033.24211,-15199.56205,7403.654463
106,11,Quadratic_correlated,0.657654374,-0.426753788,1066.398941,1960.815642,1223.558939,2761.04886
107,11,Stepwise,0.773462056,-2.277277098,867.4766438,2971.794859,-50.70811067,2260.353607
108,11,RandomForest,0.825001319,-0.066529546,762.4382951,1695.308311,1585.417862,2862.83099
109,11,Bagging,0.810239524,-0.058113129,793.9445915,1688.605879,1576.862218,2851.287251
110,11,ANN,-6.183273433,-27.18239809,4884.81941,8714.675457,-4273.647553,2306.070742
111,12,Lasso,0.410978116,0.425208171,1329.643071,1474.493465,1180.12399,2330.848921
112,12,Ridge,0.389641086,0.389183718,1353.511672,1519.997458,1134.026256,2316.967956
113,12,Log-Linear,0.535915101,-71.68832957,1180.233882,16581.35065,795.8679282,13328.44387
114,12,OLS,0.686487569,-0.190010097,970.0558574,2121.59695,1510.796289,3174.558849
115,12,Quadratic_all,0.830926961,-20.97027845,712.3715037,9116.02148,-3030.162631,4105.964938
116,12,Quadratic_correlated,0.533346656,0.525639553,1183.495336,1339.497151,1185.330897,2217.377399
117,12,Stepwise,0.657312949,0.40915559,1014.18739,1494.941248,1439.477396,2625.499126
118,12,RandomForest,0.792535918,0.370971186,789.1159454,1542.491676,1079.350972,2272.097023
119,12,Bagging,0.772117014,0.365564954,827.037705,1549.10602,1066.979581,2263.144252
120,12,ANN,-6.318295842,-10.38920693,4686.777543,6563.482038,-2352.541236,2636.913746
121,13,Lasso,0.460636204,-1.78341498,1422.063688,916.3094599,1086.465733,1703.565291
122,13,Ridge,0.432885036,-2.356963651,1458.188619,1006.297768,1211.185062,1842.396435
