"","EC","pH","Soil_Moisture_Lab","Blue_R","Red_R","Green_R","NIR_R","SWIR1_R","SWIR2_R","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NDVI","NDSI2","NRSWIR1","NRSWIR2","NDWI","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2","NDSI1","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI"
"NBG",0.0705947799465471,-0.0140115552536759,-0.432763518305441,0.86472001516505,0.7009917473768,0.629510292620063,-0.0813285388418733,0.719083396915491,0.766132228920336,0.41662644044958,1,0.754216598231286,0.124877554224596,-0.315108305385363,0.757519017019786,0.609153860818873,-0.085109565592725,-0.502807163716957,0.466715206513107,-0.529886001575048,-0.713687588687316,-0.799759328417926,-0.799695403291818,-0.709889356384429,0.675877522956676,0.679515649254901,0.795029059759961,0.462964922069112,0.40014958348573,0.0187471707055672,-0.288649032001774
"NBNIR",0.456948342159626,0.186423567111586,-0.0414148294029985,0.858695349443158,0.836221556507715,0.804349538142559,-0.549562853677376,0.454935302936109,0.60150942384654,0.00360595075542448,0.754216598231286,1,0.50314194283781,-0.0346508779489668,0.794017763820842,0.958478751590437,0.483369292436267,-0.0291373323778871,0.929032201670136,-0.0530184124778555,-0.387081367652167,-0.810187040116406,-0.837752064564445,-0.78903837013575,0.827384584694694,0.829679831383944,0.859580838178077,0.0698918471119168,-0.00789489590594032,-0.432851229495167,0.0841809686189471
"NBSWIR1",0.30413371271084,0.27215333337817,0.243280000329201,0.18800577645175,0.136255031027957,0.184690492208141,-0.707864523175289,-0.453101440054654,-0.282523151314752,0.175238182888264,0.124877554224596,0.50314194283781,1,0.803700815607817,0.00687596967173825,0.434222502843903,0.873720975038173,0.735675934123268,0.603142931684547,0.773641745424344,0.532543087645347,0.0868380931219612,0.0175626318812436,-0.119190032649859,0.156049009260945,0.154329805113453,0.164326575810111,-0.595201504552153,0.180309153214418,-0.692495301691847,0.596135872971767
"NBSWIR2",0.075963167913127,0.19286897832752,0.352795474114273,-0.333128680791643,-0.397040916694433,-0.324283280707847,-0.499707304309024,-0.796617392059282,-0.739694976199695,0.244902639272133,-0.315108305385363,-0.0346508779489668,0.803700815607817,1,-0.508330269810773,-0.10250529012124,0.650385563132084,0.898976051714843,0.119343258861741,0.888207609552707,0.888785836308875,0.576330054472408,0.567005422468296,0.493282149095772,-0.370055729998763,-0.373340616741606,-0.370530731660848,-0.771786283846058,0.257899903309117,-0.559609988094031,0.675186927226708
"NDVI",0.280162874565328,0.0775607659048496,-0.233071007870833,0.84877380355382,0.908769725973439,0.817068577731251,-0.183542328871534,0.773450100380077,0.849970181787171,-0.277361545373939,0.757519017019786,0.794017763820842,0.00687596967173825,-0.508330269810773,1,0.843596577673743,0.14346551967355,-0.385796750694893,0.675040038396807,-0.476307780943946,-0.742001304829209,-0.933098449302797,-0.939643071925348,-0.861611358775338,0.875895226932699,0.881984701182212,0.89125925451314,0.533272868669158,-0.293699852545058,-0.0542644195433346,-0.301554100809507
"NDSI2",0.521648420738535,0.224078592487041,0.0422410055823753,0.796143031057024,0.868311460155153,0.829214901645208,-0.57143860423938,0.442305702402547,0.593873216071995,-0.277520864576213,0.609153860818873,0.958478751590437,0.434222502843903,-0.10250529012124,0.843596577673743,1,0.55563525096789,0.0278971819430628,0.963991367025297,-0.0195619050875272,-0.369097618129199,-0.814786464082456,-0.843666106600887,-0.803614931969205,0.85650352951089,0.859636731181003,0.843650572011552,0.0826871717333406,-0.287863853009771,-0.45025282445409,0.0871898396037774
"NRSWIR1",0.432435087358793,0.320782024300465,0.38372871306492,0.139821232095215,0.248103641703463,0.283788807786926,-0.746980240085961,-0.424712330162612,-0.241881951443584,-0.324719411508527,-0.085109565592725,0.483369292436267,0.873720975038173,0.650385563132084,0.14346551967355,0.55563525096789,1,0.806769497417854,0.705568568781324,0.800936732137739,0.520147398548302,0.0224142658328994,-0.0489967820146616,-0.191582360270052,0.262928683002183,0.262708754079282,0.195828750732095,-0.541965767203335,-0.318727251489178,-0.715797385793793,0.574128598803968
"NRSWIR2",0.212705641240094,0.249758978100423,0.500898389429276,-0.369273833286981,-0.290296510508524,-0.226285188555564,-0.568437746159453,-0.79527795877649,-0.720097443511641,-0.2028593782323,-0.502807163716957,-0.0291373323778871,0.735675934123268,0.898976051714843,-0.385796750694893,0.0278971819430628,0.806769497417854,1,0.241041186445876,0.950579987302111,0.904633462866368,0.523329938400458,0.509400061600177,0.424586373779184,-0.266697634457002,-0.268687171073111,-0.335451828970393,-0.753662740443845,-0.188749145271644,-0.613433702130445,0.683871464397775
"NDWI",0.571654586306923,0.287726233822909,0.167928273156654,0.666775848892051,0.736775912285223,0.725844713809965,-0.71924499170792,0.216524001291583,0.387015082924699,-0.251833081641338,0.466715206513107,0.929032201670136,0.603142931684547,0.119343258861741,0.675040038396807,0.963991367025297,0.705568568781324,0.241041186445876,1,0.215061014502454,-0.136628073201597,-0.663553389594846,-0.696858695882855,-0.679348612607893,0.735224074080742,0.73769401989376,0.711241197967856,-0.162551097830917,-0.25839533551178,-0.61779968102138,0.295048695534415
"NGSWIR1",0.201087967138451,0.236458239120296,0.47254255392866,-0.391404106289664,-0.333405816764277,-0.249345173132538,-0.559611976358005,-0.844402750631712,-0.727634213970558,-0.11656950863581,-0.529886001575048,-0.0530184124778555,0.773641745424344,0.888207609552707,-0.476307780943946,-0.0195619050875272,0.800936732137739,0.950579987302111,0.215061014502454,1,0.911133067967072,0.58508133504887,0.525355766280926,0.351407049531513,-0.301562932680575,-0.305399860700316,-0.36837871383532,-0.805858400550012,-0.100840070916154,-0.61073978555245,0.700554644216069
